name,position in array,low,high,stepsize,optguess,minbound,maxbound,derived params
OrganSenescenceRate,4_0,0.1,0.5,0.01,0.2,0.1,0.5,
OrganSenescenceRate,5_0,0.1,0.5,0.01,0.2,0.1,0.5,
MaxAssimilationRate,FALSE,20,50,1,45,30,50,
AssimilatePartitioningCoeff,1_1,0.3,0.8,0.01,0.6,0.3,0.9,
AssimilatePartitioningCoeff,2_1,0.1,0.6,0.01,0.37,0.1,0.6,
AssimilatePartitioningCoeff,1_0,,,,,,,1-(v[3]+p['AssimilatePartitioningCoeff'][1][2])
AssimilatePartitioningCoeff,2_2,,,,,,,1-(v[4]+p['AssimilatePartitioningCoeff'][2][3])
